capture_id,sample_index,timestamp_note,dynamic_instances,static_instances,changed_instances,tlas_memory_mb,tlas_scratch_mb,ptlas_memory_mb,ptlas_scratch_mb,animation_physics_gpu_ms,animation_update_instances_gpu_ms,tlas_update_gpu_ms,render_gpu_ms,compositing_gpu_ms,frame_gpu_ms,frame_cpu_ms,screenshot_path,notes
ptlas_local_partition,4,after initial 2s warmup,169231,1220175,40,285.68,103.97,320.18,110.24,0.113,0.017,0.554,1.184,2.440,4.310,16.805,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition-sample4.png,PTLAS active; Always update partition
ptlas_local_partition,5,after initial 2s warmup,169231,1220175,34,285.68,103.97,320.18,110.24,0.109,0.017,0.554,1.216,2.529,4.426,16.673,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition-sample5.png,PTLAS active; Always update partition
ptlas_local_partition,6,after initial 2s warmup,169231,1220175,23,285.68,103.97,320.18,110.24,0.104,0.017,0.539,1.191,2.453,4.305,16.597,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition-sample6.png,PTLAS active; Always update partition
ptlas_local_partition,7,after initial 2s warmup,169231,1220175,21,285.68,103.97,320.18,110.24,0.102,0.017,0.535,1.149,2.380,4.184,16.658,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition-sample7.png,PTLAS active; Always update partition
ptlas_local_partition,8,after initial 2s warmup,169231,1220175,17,285.68,103.97,320.18,110.24,0.102,0.017,0.520,1.153,2.379,4.172,16.654,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition-sample8.png,PTLAS active; Always update partition
ptlas_local_partition,9,after initial 2s warmup,169231,1220175,11,285.68,103.97,320.18,110.24,0.102,0.017,0.494,1.150,2.390,4.155,16.698,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition-sample9.png,PTLAS active; Always update partition
ptlas_local_partition,10,after initial 2s warmup,169231,1220175,5,285.68,103.97,320.18,110.24,0.102,0.017,0.489,1.178,2.467,4.253,16.760,notes/ptlas-vk-sample-captures/screenshots/ptlas_local_partition-sample10.png,PTLAS active; Always update partition
ptlas_global_partition,1,after initial 2s warmup,169231,1220175,173,285.68,103.97,320.18,110.24,0.133,0.024,0.592,1.281,2.565,4.594,16.747,notes/ptlas-vk-sample-captures/screenshots/ptlas_global_partition.png,PTLAS active; Always move dynamic to global
ptlas_global_partition,2,after initial 2s warmup,169231,1220175,102,285.68,103.97,320.18,110.24,0.120,0.017,0.563,1.189,2.439,4.329,16.813,notes/ptlas-vk-sample-captures/screenshots/ptlas_global_partition-sample2.png,PTLAS active; Always move dynamic to global
ptlas_global_partition,3,after initial 2s warmup,169231,1220175,51,285.68,103.97,320.18,110.24,0.117,0.017,0.554,1.190,2.453,4.333,16.803,notes/ptlas-vk-sample-captures/screenshots/ptlas_global_partition-sample3.png,PTLAS active; Always move dynamic to global
